Net refine_p2mpp_augmentation_2_inputs_use_mean_prior | Start training | lr =  1e-05
Epoch 201, loss 15.873584747314453
Epoch 202, loss 15.72436237335205
Epoch 203, loss 15.691372871398926
Epoch 204, loss 15.677736282348633
Epoch 205, loss 15.670971870422363
Epoch 206, loss 15.665833473205566
Epoch 207, loss 15.661234855651855
Epoch 208, loss 15.657015800476074
Epoch 209, loss 15.652119636535645
Epoch 210, loss 15.64854621887207
Epoch 211, loss 15.646992683410645
Epoch 212, loss 15.645024299621582
Epoch 213, loss 15.641833305358887
Epoch 214, loss 15.64161205291748
Epoch 215, loss 15.637388229370117
Epoch 216, loss 15.636183738708496
Epoch 217, loss 15.63465690612793
Epoch 218, loss 15.633431434631348
Epoch 219, loss 15.632762908935547
Epoch 220, loss 15.631233215332031
Epoch 221, loss 15.630560874938965
Epoch 222, loss 15.628802299499512
Epoch 223, loss 15.629114151000977
Epoch 224, loss 15.627408027648926
Epoch 225, loss 15.627079963684082
Epoch 226, loss 15.625519752502441
Epoch 227, loss 15.625260353088379
Epoch 228, loss 15.623807907104492
Epoch 229, loss 15.623688697814941
Epoch 230, loss 15.621844291687012
